YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,OUTAGE.START,OUTAGE.RESTORATION,MONTH.NAME,duration_missing
2000,,Alabama,AL,SERC,Southeast,,,,,,,severe weather,thunderstorm,,,,160000,,,,,,,,,,,,1930037.0,313017.0,6252.0,2262753.0,85.29596469433474,13.833458623190422,0.2763005948948029,33712.0,44745.0,0.753424963683093,1.1,5704.0,150090.0,3.80038643480578,2.2,4452173,59.04,10.39,1278.5,988.7,40.4,4.36,0.99,96.6138878290729,3.38611217092713,2.01831362075544,,,,True
2000,5,Illinois,IL,SERC,Central,-0.7,cold,2000-05-18,18:00:00,,,severe weather,heavy wind,,,,101830,9.23,7.38,5.2,6.94,2700772.0,3589025.0,3310657.0,10513961.0,25.6874835278541,34.1358028624987,31.4881993570263,4748863.0,493670.0,5009.0,5282401.0,89.89970659175628,9.345560853861718,0.09482430432676353,49276.0,44745.0,1.10126271091742,2.8,15815.0,612709.0,2.58116006130153,5.8,12434161,88.49,8.52,2877.6,1759.5,28.6,7.11,1.12,95.864557792589,4.13544220741099,1.41589253030355,2000-05-18 18:00:00,,May,True
2000,,Illinois,IL,SERC,Central,,,,,,,severe weather,wildfire,,,,11000,,,,,,,,,,,,4748863.0,493670.0,5009.0,5282401.0,89.89970659175628,9.345560853861718,0.09482430432676353,49276.0,44745.0,1.10126271091742,2.8,15815.0,612709.0,2.58116006130153,5.8,12434161,88.49,8.52,2877.6,1759.5,28.6,7.11,1.12,95.864557792589,4.13544220741099,1.41589253030355,,,,True
2016,3,Washington,WA,WECC,Northwest,1.6,warm,2016-03-13,14:00:00,,,intentional attack,sabotage,,,0,0,9.22,8.48,4.4,7.74,3318889.0,2463677.0,2014125.0,7797125.0,42.5655481988553,31.5972489860045,25.8316366609487,2985799.0,367847.0,29012.0,3382664.0,88.26767896545445,10.87447644814856,0.8576672114049755,57796.0,50660.0,1.14086063955784,4.3,3504.0,420809.0,0.832681810512608,0.7,7280934,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,2016-03-13 14:00:00,,Mar,True
2016,3,Washington,WA,WECC,Northwest,1.6,warm,2016-03-01,15:00:00,,,severe weather,,,,,56000,9.22,8.48,4.4,7.74,3318889.0,2463677.0,2014125.0,7797125.0,42.5655481988553,31.5972489860045,25.8316366609487,2985799.0,367847.0,29012.0,3382664.0,88.26767896545445,10.87447644814856,0.8576672114049755,57796.0,50660.0,1.14086063955784,4.3,3504.0,420809.0,0.832681810512608,0.7,7280934,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,2016-03-01 15:00:00,,Mar,True
2015,8,Washington,WA,WECC,Northwest,1.4,warm,2015-08-29,10:00:00,,,severe weather,,,,,500000,9.36,8.06,4.53,7.42,2441106.0,2540013.0,2208545.0,7190121.0,33.9508333726234,35.3264291379797,30.7163815462911,2945760.0,365095.0,29163.0,3340024.0,88.19577344354413,10.930909478494765,0.8731374385333758,55403.0,49844.0,1.11152796725784,1.4,3461.0,404972.0,0.854626986557095,0.8,7170351,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,2015-08-29 10:00:00,,Aug,True
2015,11,Washington,WA,WECC,Northwest,2.2,warm,2015-11-17,09:00:00,,,severe weather,,,,900,89000,9.37,8.47,4.51,7.75,2930689.0,2368307.0,2003049.0,7302488.0,40.1327465378923,32.4315082749879,27.4296787615399,2945760.0,365095.0,29163.0,3340024.0,88.19577344354413,10.930909478494765,0.8731374385333758,55403.0,49844.0,1.11152796725784,1.4,3461.0,404972.0,0.854626986557095,0.8,7170351,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,2015-11-17 09:00:00,,Nov,True
2016,3,Washington,WA,WECC,Northwest,1.6,warm,2016-03-13,16:55:00,,,intentional attack,vandalism,,,0,0,9.22,8.48,4.4,7.74,3318889.0,2463677.0,2014125.0,7797125.0,42.5655481988553,31.5972489860045,25.8316366609487,2985799.0,367847.0,29012.0,3382664.0,88.26767896545445,10.87447644814856,0.8576672114049755,57796.0,50660.0,1.14086063955784,4.3,3504.0,420809.0,0.832681810512608,0.7,7280934,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,2016-03-13 16:55:00,,Mar,True
2015,11,Washington,WA,WECC,Northwest,2.2,warm,2015-11-17,10:00:00,,,severe weather,,,,,300000,9.37,8.47,4.51,7.75,2930689.0,2368307.0,2003049.0,7302488.0,40.1327465378923,32.4315082749879,27.4296787615399,2945760.0,365095.0,29163.0,3340024.0,88.19577344354413,10.930909478494765,0.8731374385333758,55403.0,49844.0,1.11152796725784,1.4,3461.0,404972.0,0.854626986557095,0.8,7170351,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,2015-11-17 10:00:00,,Nov,True
2015,7,Washington,WA,WECC,Northwest,1.2,warm,2015-07-31,10:55:00,,,islanding,,,,9,,9.34,8.16,4.64,7.52,2566800.0,2608211.0,2196966.0,7372409.0,34.8162995297738,35.3780019529573,29.7998388315136,2945760.0,365095.0,29163.0,3340024.0,88.19577344354413,10.930909478494765,0.8731374385333758,55403.0,49844.0,1.11152796725784,1.4,3461.0,404972.0,0.854626986557095,0.8,7170351,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,2015-07-31 10:55:00,,Jul,True
